taxpayer_id,taxpayer_name,sector,region,annual_revenue_usd,late_filings_last_12m,fiscal_device_uptime_pct,vat_to_sales_ratio,outstanding_debt_zig,previous_audit_violations,prediction_score
ZIM-TEST-300000,Sekai Gara,Services,Masvingo,149021.48,0,74.43,0.122,2456.42,1,1.0
ZIM-TEST-300001,Sekai Sibanda,Manufacturing,Midlands,93779.85,2,97.46,0.1381,22052.47,0,0.0
ZIM-TEST-300002,Nyasha Sibanda,Retail,Bulawayo,194464.97,1,75.06,0.1192,20582.73,1,0.0
ZIM-TEST-300003,Chipo Ndlovu,Services,Harare,62365.83,0,95.83,0.1445,4867.64,0,0.0
ZIM-TEST-300004,Nomsa Marange,Manufacturing,Mash West,99446.07,2,75.5,0.1373,10508.18,1,0.0
ZIM-TEST-300005,Shingai Dube,Agriculture,Bulawayo,78747.27,1,70.32,0.1091,9925.76,0,3.0
ZIM-TEST-300006,Chipo Ndlovu,Services,Harare,127002.47,1,91.0,0.1258,26218.37,0,0.0
ZIM-TEST-300007,Tendai Ndlovu,Agriculture,Manicaland,73294.92,1,87.26,0.1179,17256.97,0,0.0
ZIM-TEST-300008,Sekai Dube,Mining,Mash West,278433.64,2,80.03,0.155,3118.48,0,0.0
ZIM-TEST-300009,Tendai Chirau,Tourism,Midlands,56279.3,1,85.6,0.1587,1394.11,0,0.0
ZIM-TEST-300010,Tendai Dube,Retail,Harare,107609.25,5,77.21,0.1519,1657.23,0,62.0
ZIM-TEST-300011,Nomsa Chirau,Manufacturing,Mash West,81796.28,4,75.33,0.1251,3896.73,3,78.0
ZIM-TEST-300012,Takudzwa Mutasa,Retail,Bulawayo,113342.8,0,94.28,0.1303,472.04,0,0.0
ZIM-TEST-300013,Tendai Moyo,Tourism,Harare,258820.3,2,98.37,0.1144,22860.34,1,0.0
ZIM-TEST-300014,Thandiwe Ndlovu,Agriculture,Masvingo,121867.73,1,73.16,0.1008,2850.25,0,0.0
ZIM-TEST-300015,Tinashe Mapfumo,Agriculture,Harare,64565.22,1,81.47,0.1254,2986.57,2,0.0
ZIM-TEST-300016,Blessing Mutasa,Tourism,Manicaland,283029.42,1,89.03,0.1223,16011.36,0,0.0
ZIM-TEST-300017,Tinashe Sibanda,Services,Mash West,115048.8,2,82.15,0.1358,2952.5,2,0.0
ZIM-TEST-300018,Thandiwe Ncube,Retail,Mash West,133781.07,0,76.68,0.1386,13953.67,0,0.0
ZIM-TEST-300019,Takudzwa Moyo,Agriculture,Midlands,98314.8,1,78.88,0.1361,4863.84,0,0.0
ZIM-TEST-300020,Tinashe Dube,Manufacturing,Bulawayo,12917.28,0,92.56,0.1158,3961.81,0,0.0
ZIM-TEST-300021,Nomsa Musoni,Mining,Harare,72525.66,3,72.67,0.1274,42056.92,1,6.0
ZIM-TEST-300022,Nyasha Mutasa,Retail,Bulawayo,23172.19,1,76.48,0.1594,37098.93,0,1.0
ZIM-TEST-300023,Chipo Ndlovu,Agriculture,Manicaland,241462.41,3,96.87,0.1005,590.64,0,1.0
ZIM-TEST-300024,Kumbirai Zhou,Agriculture,Harare,112198.83,4,82.76,0.1477,21479.0,0,2.0
ZIM-TEST-300025,Sekai Chigumba,Retail,Masvingo,62996.35,2,88.73,0.1064,15291.08,0,0.0
ZIM-TEST-300026,Blessing Ndlovu,Retail,Masvingo,216620.71,0,71.34,0.1015,19665.71,0,2.0
ZIM-TEST-300027,Nyasha Ncube,Tourism,Masvingo,114722.78,1,90.42,0.1184,8665.17,0,0.0
ZIM-TEST-300028,Nomsa Marange,Services,Mash West,132835.65,1,76.41,0.141,25898.88,0,1.0
ZIM-TEST-300029,Kumbirai Moyo,Agriculture,Manicaland,44991.96,0,90.96,0.1472,766.81,0,0.0
ZIM-TEST-300030,Shingai Sibanda,Services,Manicaland,76821.37,2,83.79,0.1423,5601.4,1,0.0
ZIM-TEST-300031,Tatenda Marange,Manufacturing,Midlands,68631.34,1,75.75,0.1104,18630.27,0,0.0
ZIM-TEST-300032,Chipo Gara,Retail,Harare,19676.12,3,90.36,0.1003,15765.64,1,3.0
ZIM-TEST-300033,Blessing Mutasa,Agriculture,Midlands,28061.2,0,73.54,0.1359,4777.91,2,0.0
ZIM-TEST-300034,Shingai Chigumba,Agriculture,Midlands,22853.07,0,93.08,0.1256,3666.01,1,0.0
ZIM-TEST-300035,Takudzwa Musoni,Retail,Harare,127739.11,3,78.23,0.1277,6058.42,0,0.0
ZIM-TEST-300036,Sekai Mutasa,Mining,Manicaland,22817.64,2,71.36,0.1155,6757.86,0,0.0
